VALVESIZE,FIGNO,LIFT,STMDIA,PITCH,LEAD,PACKLOAD,PORT DIA,HDWLDIA,VALFACT,MAX DP,VALMFG,WGT,Notes
2.5,3003,3,0.8125,0.142285714,0.285714286,1000,2.5,8,0.3,740,1,85,
10,1203,7.87,2.875,0.33333333,0.666666667,4000,6.5,,0.3,6170,5,,
16,1203,11.3,3.5,0.5,1,4000,10.24,,0.3,6170,5,,
12,1284,5.5,4,0.5,0.5,4000,7.9,,1.1,6170,5,,
4,1203,3.38,1.375,0.25,0.5,1500,2.76,,0.3,6170,5,,
3,1103,3.34,1.25,0.2,0.2,1500,2.375,,0.3,3705,2,,
12,1203,9.06,3.25,0.5,1,4000,7.87,,0.3,6170,5,,
2,1531,0.859375,0.875,0.142285714,0.142285714,1000,2.109375,12.5,1.1,285,1,40,
16,1787,16,1.75,0.33333333,0.33333333,2500,15.25,,0.3,150,6,,
1,GY25,0.75,0.75,0.166666667,0.166666667,1000,0.81,,1.1,6170,11,,
1.5,GY25,1.19,0.875,0.166666667,0.166666667,1000,1.25,,1.1,6170,11,,
2,GA15,1.811,0.846,0.125,0.25,1000,1.457,,0.3,3705,13,,
2,GA08,1.555,0.65,0.1,0.2,1000,1.457,,0.3,1975,13,,
2,GL08,0.984,0.591,0.1,0.1,1000,1.457,,1.1,1975,13,,
1.5,GA08,1.28,0.65,0.1,0.2,1000,1.181,,0.3,1975,13,,
2.5,1603,2.6875,0.875,0.142857143,0.285714286,1000,2.125,10,0.3,1480,1,,
3,1603,3.2,0.875,0.142857143,0.285714286,1000,2.625,10,0.3,1480,1,,
4,1603,4,1.25,0.2,0.4,1500,3.4375,14,0.3,1480,1,,
6,1603,7.125,1.5,0.25,0.5,1500,6,22,0.3,1480,1,,
8,1603,8.9,1.75,0.2,0.4,2500,7.875,22,0.3,1480,1,,
10,1603,10.875,1.875,0.25,0.5,2500,9.75,26,0.3,1480,1,,
12,1603,11.5,2,0.25,0.5,2500,10.25,30,0.3,1480,1,,
14,1603,12.625,2.25,0.25,0.5,2500,11.25,36,0.3,1480,1,,
3,1684Y,2.5,1,0.166666667,0.166666667,1000,2.90625,12,1.1,1480,1,,
4,1684Y,3.375,1.125,0.2,0.2,1500,3.71875,16,1.1,1480,1,,
5,1684Y,4,1.5,0.2,0.2,1500,4.6875,20,1.1,1480,1,,
10,1684Y,8,2.5,0.25,0.25,2500,9.6875,,1.1,1480,1,,
12,1684Y,9.5,2.75,0.25,0.25,4000,11.4375,,1.1,1480,1,,
14,1684Y,10.75,3,0.25,0.25,4000,12.5625,,1.1,1480,1,,
16,1684Y,11.75,3.25,0.25,0.25,4000,14.3125,,1.1,1480,1,,
18,1684Y,13.25,3.75,0.33333333,0.33333333,4000,16.0625,,1.1,1480,1,,
20,1684Y,15.25,4.75,0.5,0.5,5000,18,,1.1,1480,1,,
4,1903,4.125,1.125,0.166666667,0.33333333,1500,3.4375,18,0.3,2220,1,,
5,1903,5.375,1.5,0.25,0.5,1500,4.3125,,0.3,2220,1,,
6,1903,6.125,1.75,0.2,0.4,2500,5,22,0.3,2220,1,,
8,1903,7.625,1.875,0.25,0.5,2500,6.5625,26,0.3,2220,1,,
10,1903,9.375,2.125,0.25,0.5,2500,8.25,30,0.3,2220,1,,
12,1903,11.5,2,0.25,0.5,2500,10.25,30,0.3,2220,1,,
14,1903,12.625,2.25,0.25,0.5,2500,11.25,30,0.3,2220,1,,
16,1903,14.375,2.5,0.25,0.5,2500,12.875,,0.3,2220,1,,
18,1903,16,2.75,0.25,0.5,4000,14.375,,0.3,2220,1,,
20,1903,18,3,0.25,0.5,4000,16,,0.3,2220,1,,
24,1903,21.5,3.5,0.25,0.5,4000,19.5,,0.3,2220,1,,
3,1931Y,2.625,1.25,0.25,0.25,1500,2.625,16,1.1,2220,1,,
4,1931Y,2.625,1.5,0.25,0.25,1500,3.375,22,1.1,2220,1,,
10,1931Y,8,2.75,0.25,0.25,4000,9.6875,,1.1,2220,1,,
12,1931Y,9.5,3,0.25,0.25,4000,11.4375,,1.1,2220,1,,
18,1931Y,13.25,4,0.33333333,0.33333333,4000,16.0625,,1.1,2220,1,,
20,1931Y,15.25,5,0.5,1,5000,17.8125,,1.1,2220,1,,
3,1984Y,2.625,1.25,0.25,0.25,1500,2.625,16,1.1,2220,1,,
4,1984Y,2.625,1.5,0.25,0.25,1500,3.375,22,1.1,2220,1,,
10,1984Y,8,2.75,0.25,0.25,4000,9.6875,,1.1,2220,1,,
12,1984Y,9.5,3,0.25,0.25,4000,11.4375,,1.1,2220,1,,
14,1984Y,10.75,3.25,0.25,0.25,4000,12.5625,,1.1,2220,1,,
14,1931Y,10.75,3.25,0.25,0.25,4000,12.5625,,1.1,2220,1,,
16,1931Y,11.75,3.5,0.25,0.25,4000,14.3125,,1.1,2220,1,,
16,1984Y,11.75,3.5,0.25,0.25,4000,14.3125,,1.1,2220,1,,
18,1984Y,13.25,4,0.33333333,0.33333333,4000,16.0625,,1.1,2220,1,,
20,1984Y,15.25,5,0.5,0.5,5000,17.8125,,1.1,2220,1,,
1,1103,1.125,0.625,0.125,0.125,1000,1.1875,,0.3,3705,1,,
1.5,1103,2,0.875,0.142285714,0.285714286,1000,1.3437,,0.3,3705,1,,
2,1103,2,0.875,0.142285714,0.285714286,1000,1.5312,,0.3,3705,1,,
2.5,1103,2.5,1,0.142285714,0.285714286,1000,1.9375,14,0.3,3705,1,,
3,1103,3.125,1,0.142285714,0.285714286,1000,2.375,14,0.3,3705,1,,
4,1103,3.875,1,0.142285714,0.285714286,1000,3.125,14,0.3,3705,1,,
5,1103,5.375,1.5,0.25,0.5,1500,4.3125,,0.3,3705,1,,
6,1103,5.875,1.5,0.2,0.4,1500,4.75,26,0.3,3705,1,,
8,1103,7.25,1.75,0.2,0.4,2500,6.25,30,0.3,3705,1,,
10,1103,8.875,2.25,0.25,0.5,2500,7.75,30,0.3,3705,1,,
12,1103,10.625,2.25,0.25,0.5,2500,9.25,30,0.3,3705,1,,
14,1103,11.875,2.5,0.25,0.5,2500,10.5,36,0.3,3705,1,,
16,1103,13.375,2.75,0.25,0.5,4000,11.75,,0.3,3705,1,,
18,1103,14.75,3,0.25,0.5,4000,13,,0.3,3705,1,,
20,1103,16.375,3.25,0.25,0.5,4000,14.5,,0.3,3705,1,,
24,1103,19.375,3.75,0.25,0.5,4000,17.5,,0.3,3705,1,,
2.5,1131Y,2,1.125,0.166666667,0.166666667,1500,2.1875,12,1.1,3705,1,,
3,1131Y,2.5,1.25,0.25,0.25,1500,2.625,16,1.1,3705,1,,
4,1131Y,2.5,1.5,0.25,0.25,1500,3.375,22,1.1,3705,1,,
5,1131Y,4,1.5,0.25,0.25,1500,4.6875,20,1.1,3705,1,,
6,1131Y,5,2.125,0.25,0.25,2500,5.6875,30,1.1,3705,1,,
8,1131Y,6.75,2.75,0.25,0.25,4000,7.3125,,1.1,3705,1,,
10,1131Y,8,3.25,0.25,0.25,4000,9.0625,,1.1,3705,1,,
12,1131Y,9,3.5,0.25,0.25,4000,10.6875,,1.1,3705,1,,
2.5,1184Y,2,1.125,0.166666667,0.166666667,1500,2.1875,12,1.1,3705,1,,
3,1184Y,2.5,1.25,0.25,0.25,1500,2.625,18,1.1,3705,1,,
4,1184Y,2.5,1.5,0.25,0.25,1500,3.375,22,1.1,3705,1,,
6,1184Y,5,2.125,0.25,0.25,2500,5.6875,30,1.1,3705,1,,
8,1184Y,6.75,2.75,0.25,0.25,4000,7.3125,,1.1,3705,1,,
10,1184Y,8,3.25,0.25,0.25,4000,9.0625,,1.1,3705,1,,
12,1184Y,9,3.5,0.25,0.25,4000,10.6875,,1.1,3705,1,,
6,120003,5.875,1.5,0.2,0.4,1500,4.75,26,0.3,4940,1,,
8,120003,7.25,1.75,0.2,0.4,2500,6.25,30,0.3,4940,1,,
10,120003,8.875,2.25,0.25,0.5,2500,7.75,30,0.3,4940,1,,
12,120003,10.625,2.5,0.25,0.5,2500,9.25,30,0.3,4940,1,,
14,120003,11.875,3,0.25,0.5,4000,10.5,36,0.3,4940,1,,
16,120003,13.375,3.25,0.25,0.5,4000,11.75,,0.3,4940,1,,
